state_cL,ftype_cL,fsource_cL,fsink_cL,cL,exmL,state_exmL,ftype_exmL,fsource_exmL,fsink_exmL,c,exm,empty
NM,NA,NA,NA,Commercial: Schools-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial%3ASchools-NMOSE,NA,NA
CO,NA,NA,NA,Monthly Effective Precipitation,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MonthlyEffectivePrecipitation,NA,NA
WY,Inflow,Atmosphere,Zone Surface Water,Precipitation-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Precipitation-WY,NA,NA
UT,NA,NA,NA,UT State Archives,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#UTStateArchives,NA,NA
NM,NA,NA,NA,US Army Corps of Engineers,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#USArmyCorpsOfEngineers,NA,NA
UT,NA,NA,NA,USU Research Report 145,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#USUResearchReport145,NA,NA
UT,Internal Transfer,Zone Land System,Zone Surface Water,Municipal and Industrial Return Flow-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialReturnFlow-UT,NA,NA
CA,Storage Change,NA,NA,Change in Land System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ChangeInLandSystemStorage-CA,NA,NA
NM,NA,NA,NA,Livestock: Metered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Livestock%3AMetered-NMOSE,NA,NA
WY,NA,NA,NA,Natural Gas Processing Volumes,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#NaturalGasProcessingVolumes,NA,NA
CA,Storage Change,NA,NA,Change in Total System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ChangeInTotalSystemStorage-CA,NA,NA
WY,Outflow,Zone Surface Water,External Groundwater,Ungaged Stream Losses-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#UngagedStreamLosses-WY,NA,NA
UT,NA,NA,NA,UT Diversion Records from River Commissioners,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#UTDiversionRecordsFromRiverCommissioners,NA,NA
WY,NA,NA,NA,State CU,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#StateCU,NA,NA
NM,NA,NA,NA,Seasonal Consumptive Use Coefficients (K),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#SeasonalConsumptiveUseCoefficients%28K%29,NA,NA
CO,NA,NA,NA,Seasonal Consumptive Use Coefficients (K),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#SeasonalConsumptiveUseCoefficients%28K%29,NA,NA
CO,NA,NA,NA,"Midwest Plan Service Structures and Environmental Handbook, 1977",NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MidwestPlanServiceStructuresAndEnvironmentalHandbook%2C1977,NA,NA
