dsL,pL,emL,cL
Unknown,Surface area of lake (Al),Darcy's Law,Lake Gain from Groundwater-CA
Unknown,Vertical hydraulic conductivity of the surrounding aquifer (Kv),Darcy's Law,Lake Gain from Groundwater-CA
Unknown,Water level in lake (Hlake),Darcy's Law,Lake Gain from Groundwater-CA
Unknown,Wetted perimeter of lake multiplied by the average saturated thickness of aquifer around the lake (Awpl),Darcy's Law,Lake Gain from Groundwater-CA
Unknown,Flow through a vertical plane that extends beneath the shoreline of a surface water body (Q),Flow Net Analysis,Lake Gain from Groundwater-CA
Unknown,Horizontal hydraulic conductivity of the aquifer at the boundary (K),Flow Net Analysis,Lake Gain from Groundwater-CA
Unknown,Number of equipotential head drops over the area of interest (n),Flow Net Analysis,Lake Gain from Groundwater-CA
Unknown,Number of streamtubes across a flow net (M),Flow Net Analysis,Lake Gain from Groundwater-CA
Unknown,Total head drop across the area of interest (H),Flow Net Analysis,Lake Gain from Groundwater-CA
CA Integrated Water Flow Model (IWFM),Lake Evaporation-CA,Mass Balance,Lake Loss to Groundwater-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Evaporation-CA,Mass Balance,Lake Loss to Groundwater-CA
Unknown,Lake Evaporation-CA,Mass Balance,Lake Loss to Groundwater-CA
Unknown,Precipitation on Lakes-CA,Mass Balance,Lake Loss to Groundwater-CA
Unknown,Change in Lake Storage,Mass Balance,Lake Loss to Groundwater-CA
CA Integrated Water Flow Model (IWFM),Lake Inflow from Streams-CA,Mass Balance,Lake Loss to Groundwater-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Inflow from Streams-CA,Mass Balance,Lake Loss to Groundwater-CA
Unknown,Lake Inflow from Streams-CA,Mass Balance,Lake Loss to Groundwater-CA
CA Integrated Water Flow Model (IWFM),Lake Outflow to Streams-CA,Mass Balance,Lake Loss to Groundwater-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Outflow to Streams-CA,Mass Balance,Lake Loss to Groundwater-CA
Unknown,Lake Outflow to Streams-CA,Mass Balance,Lake Loss to Groundwater-CA
Unknown,Bottom elevation of the lakebed sediments (Hlakebed bottom),Darcy's Law,Lake Loss to Groundwater-CA
Unknown,Distance between two points with known head (I),Darcy's Law,Lake Loss to Groundwater-CA
Unknown,Groundwater Level (Haquifer),Darcy's Law,Lake Loss to Groundwater-CA
Unknown,Surface area of lake (Al),Darcy's Law,Lake Loss to Groundwater-CA
Unknown,Vertical hydraulic conductivity of the surrounding aquifer (Kv),Darcy's Law,Lake Loss to Groundwater-CA
Unknown,Water level in lake (Hlake),Darcy's Law,Lake Loss to Groundwater-CA
Unknown,Wetted perimeter of lake multiplied by the average saturated thickness of aquifer around the lake (Awpl),Darcy's Law,Lake Loss to Groundwater-CA
Unknown,Effective thickness of the aquifer (b),Flow Net Analysis,Lake Loss to Groundwater-CA
Unknown,Flow through a vertical plane that extends beneath the shoreline of a surface water body (Q),Flow Net Analysis,Lake Loss to Groundwater-CA
Unknown,Horizontal hydraulic conductivity of the aquifer at the boundary (K),Flow Net Analysis,Lake Loss to Groundwater-CA
Unknown,Number of equipotential head drops over the area of interest (n),Flow Net Analysis,Lake Loss to Groundwater-CA
Unknown,Number of streamtubes across a flow net (M),Flow Net Analysis,Lake Loss to Groundwater-CA
Unknown,Total head drop across the area of interest (H),Flow Net Analysis,Lake Loss to Groundwater-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Recharge of Applied Water-CA
Unknown,Consumptive Use of Precipitation (EP),Applied Water Estimation Method,Recharge of Applied Water-CA
PRISM,Unknown,California Central Valley Simulation (C2VSim),Recharge of Precipitation-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Recharge of Precipitation-CA
Unknown,Unknown,Constant Percentage,Recharge of Precipitation-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Stream Gain from Groundwater-CA
Unknown,Unknown,Baseflow Separation Techniques,Stream Gain from Groundwater-CA
California Central Valley Simulation (C2VSim),Surface Water Diversions-CA,Mass Balance,Stream Gain from Groundwater-CA
California Agricultural Land and Water Use Estimates,Surface Water Diversions-CA,Mass Balance,Stream Gain from Groundwater-CA
CA Integrated Water Flow Model (IWFM),Surface Water Diversions-CA,Mass Balance,Stream Gain from Groundwater-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Surface Water Diversions-CA,Mass Balance,Stream Gain from Groundwater-CA
CA DWR SGMA Data Viewer,Surface Water Diversions-CA,Mass Balance,Stream Gain from Groundwater-CA
California Central Valley Simulation (C2VSim),Return Flow-CA,Mass Balance,Stream Gain from Groundwater-CA
California Agricultural Land and Water Use Estimates,Return Flow-CA,Mass Balance,Stream Gain from Groundwater-CA
CA Integrated Water Flow Model (IWFM),Return Flow-CA,Mass Balance,Stream Gain from Groundwater-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Return Flow-CA,Mass Balance,Stream Gain from Groundwater-CA
USDA Natural Resources Conservation Service Geospatial Web Soil Survey,Return Flow-CA,Mass Balance,Stream Gain from Groundwater-CA
California Central Valley Simulation (C2VSim),Runoff-CA,Mass Balance,Stream Gain from Groundwater-CA
California Agricultural Land and Water Use Estimates,Runoff-CA,Mass Balance,Stream Gain from Groundwater-CA
CA Integrated Water Flow Model (IWFM),Runoff-CA,Mass Balance,Stream Gain from Groundwater-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Runoff-CA,Mass Balance,Stream Gain from Groundwater-CA
USGS Basin Characterization Model,Runoff-CA,Mass Balance,Stream Gain from Groundwater-CA
Unknown,Inflow from contributing or tributary streams,Mass Balance,Stream Gain from Groundwater-CA
Unknown,Streamflow at downstream gauge,Mass Balance,Stream Gain from Groundwater-CA
Unknown,Streamflow at upstream gauge,Mass Balance,Stream Gain from Groundwater-CA
Unknown,Average thickness of streambed (Bstream),Darcy's Law,Stream Gain from Groundwater-CA
Unknown,Bottom Elevation of Streambed Sediments (Hstreambed bottom),Darcy's Law,Stream Gain from Groundwater-CA
Unknown,Groundwater Level (Haquifer),Darcy's Law,Stream Gain from Groundwater-CA
Unknown,Effective area of flow exchange (Awps),Darcy's Law,Stream Gain from Groundwater-CA
Unknown,Hydraulic conductivity of the streambed material (Ks),Darcy's Law,Stream Gain from Groundwater-CA
Unknown,Water Stage in stream (Hstream),Darcy's Law,Stream Gain from Groundwater-CA
Unknown,Effective thickness of the aquifer (b),Flow Net Analysis,Stream Gain from Groundwater-CA
Unknown,Flow through a vertical plane that extends beneath the shoreline of a surface water body (Q),Flow Net Analysis,Stream Gain from Groundwater-CA
Unknown,Horizontal hydraulic conductivity of the aquifer at the boundary (K),Flow Net Analysis,Stream Gain from Groundwater-CA
Unknown,Number of equipotential head drops over the area of interest (n),Flow Net Analysis,Stream Gain from Groundwater-CA
Unknown,Number of streamtubes across a flow net (M),Flow Net Analysis,Stream Gain from Groundwater-CA
Unknown,Total head drop across the area of interest (H),Flow Net Analysis,Stream Gain from Groundwater-CA
Unknown,Unknown,Constant Seepage Percentage,Stream Gain from Groundwater-CA
Unknown,Measured Pan Evaporation Rate,Evaporation Pan Method,Lake Evaporation-CA
Unknown,Pan Coefficient,Evaporation Pan Method,Lake Evaporation-CA
Unknown,Surface Area of Water Body,Evaporation Pan Method,Lake Evaporation-CA
Unknown,Vapor Pressure,Mass Transfer Equations,Lake Evaporation-CA
Unknown,Mass Transfer Coefficient,Mass Transfer Equations,Lake Evaporation-CA
Unknown,Saturation Vapor Pressure ,Mass Transfer Equations,Lake Evaporation-CA
Unknown,Wind Function,Mass Transfer Equations,Lake Evaporation-CA
PRISM,Unknown,California Central Valley Simulation (C2VSim),Imported Water-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Imported Water-CA
Unknown,Operational Spill,Applied Water Estimation Method,Imported Water-CA
Cal-SIMETAW Unit Values,Stream Outflow-CA,Mass Balance,Stream Evaporation-CA
California Water Plan Portfolio,Stream Outflow-CA,Mass Balance,Stream Evaporation-CA
Cal-SIMETAW Unit Values,Stream Inflow-CA,Mass Balance,Stream Evaporation-CA
California Water Plan Portfolio,Stream Inflow-CA,Mass Balance,Stream Evaporation-CA
Unknown,Vapor Pressure,Mass Transfer Equations,Stream Evaporation-CA
Unknown,Saturation Vapor Pressure ,Mass Transfer Equations,Stream Evaporation-CA
Unknown,Wind Function,Mass Transfer Equations,Stream Evaporation-CA
CA Integrated Water Flow Model (IWFM),Lake Gain from Groundwater-CA,Mass Balance,Lake Inflow from Streams-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Gain from Groundwater-CA,Mass Balance,Lake Inflow from Streams-CA
CA Integrated Water Flow Model (IWFM),Lake Loss to Groundwater-CA,Mass Balance,Lake Inflow from Streams-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Loss to Groundwater-CA,Mass Balance,Lake Inflow from Streams-CA
CA Integrated Water Flow Model (IWFM),Lake Evaporation-CA,Mass Balance,Lake Inflow from Streams-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Evaporation-CA,Mass Balance,Lake Inflow from Streams-CA
Unknown,Lake Evaporation-CA,Mass Balance,Lake Inflow from Streams-CA
Unknown,Unknown,Mass Curve,Lake Inflow from Streams-CA
Unknown,Unknown,Reservoir Operation Rule Curve,Lake Inflow from Streams-CA
CA Integrated Water Flow Model (IWFM),Lake Gain from Groundwater-CA,Mass Balance,Lake Outflow to Streams-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Gain from Groundwater-CA,Mass Balance,Lake Outflow to Streams-CA
CA Integrated Water Flow Model (IWFM),Lake Loss to Groundwater-CA,Mass Balance,Lake Outflow to Streams-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Loss to Groundwater-CA,Mass Balance,Lake Outflow to Streams-CA
CA Integrated Water Flow Model (IWFM),Lake Evaporation-CA,Mass Balance,Lake Outflow to Streams-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Evaporation-CA,Mass Balance,Lake Outflow to Streams-CA
Unknown,Lake Evaporation-CA,Mass Balance,Lake Outflow to Streams-CA
Unknown,Unknown,Mass Curve,Lake Outflow to Streams-CA
Unknown,Unknown,Reservoir Operation Rule Curve,Lake Outflow to Streams-CA
PRISM,Unknown,California Central Valley Simulation (C2VSim),Precipitation-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Precipitation-CA
Unknown,Unknown,Spatial Averaging Techniques,Precipitation-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Change in Land System Storage-CA
Unknown,Change in Soil Moisture,Water Use Models,Change in Land System Storage-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Change in Surface Water Storage-CA
CA Integrated Water Flow Model (IWFM),Lake Gain from Groundwater-CA,Mass Balance,Change in Surface Water Storage-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Gain from Groundwater-CA,Mass Balance,Change in Surface Water Storage-CA
CA Integrated Water Flow Model (IWFM),Lake Loss to Groundwater-CA,Mass Balance,Change in Surface Water Storage-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Loss to Groundwater-CA,Mass Balance,Change in Surface Water Storage-CA
CA Integrated Water Flow Model (IWFM),Lake Inflow from Streams-CA,Mass Balance,Change in Surface Water Storage-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Inflow from Streams-CA,Mass Balance,Change in Surface Water Storage-CA
USGS Surface-Water Data for California,Lake Inflow from Streams-CA,Mass Balance,Change in Surface Water Storage-CA
Center for Hydrometeorology and Remote Sensing Data Portal (CHRS),Lake Inflow from Streams-CA,Mass Balance,Change in Surface Water Storage-CA
Unknown,Lake Inflow from Streams-CA,Mass Balance,Change in Surface Water Storage-CA
CA Integrated Water Flow Model (IWFM),Lake Outflow to Streams-CA,Mass Balance,Change in Surface Water Storage-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Lake Outflow to Streams-CA,Mass Balance,Change in Surface Water Storage-CA
USGS Surface-Water Data for California,Lake Outflow to Streams-CA,Mass Balance,Change in Surface Water Storage-CA
Center for Hydrometeorology and Remote Sensing Data Portal (CHRS),Lake Outflow to Streams-CA,Mass Balance,Change in Surface Water Storage-CA
Unknown,Lake Outflow to Streams-CA,Mass Balance,Change in Surface Water Storage-CA
Unknown,Unknown,Central Valley Hydrologic Model (CVHM),Water Release Caused by Land Subsidence-CA
Unknown,Unknown,MODFLOW-OWHM: One Water Hydrologic Flow Model,Water Release Caused by Land Subsidence-CA
CA Previous Reports,Unknown,Unknown,Groundwater Extraction-CA
CA DWR SGMA Data Viewer,Unknown,Unknown,Surface Water Diversions-CA
CALSIM 3,Unknown,Unknown,Surface Water Diversions-CA
CA DWR Water Data Library: Surface Water and Groundwater Data,Unknown,Unknown,Surface Water Diversions-CA
USGS Surface-Water Data for California,Unknown,Unknown,Surface Water Diversions-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Applied Water-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Applied Water-CA
Central Valley Hydrologic Model (CVHM),Unknown,Unknown,Applied Water-CA
CALSIM2,Unknown,Unknown,Applied Water-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Applied Water-CA
California Water Plan Portfolio,Unknown,Unknown,Applied Water-CA
CA DWR Land Use Surveys,Unknown,Unknown,Applied Water-CA
SWRCB Water Conservation Portal,Unknown,Unknown,Applied Water-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Applied Water-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Applied Water-CA
US Census Bureau,Unknown,Unknown,Applied Water-CA
CA DWR SGMA Data Viewer,Unknown,Unknown,Applied Water-CA
CA Agricultural Water Management Plans,Unknown,Unknown,Applied Water-CA
CA DWR Demographic Data,Unknown,Unknown,Applied Water-CA
CA DWR Irrigation Methods Survey,Unknown,Unknown,Applied Water-CA
CA DWR Land Use Viewer,Unknown,Unknown,Applied Water-CA
CA Urban Water Management Plans,Unknown,Unknown,Applied Water-CA
California Department of Finance,Unknown,Unknown,Applied Water-CA
California Pesticide Information Portal,Unknown,Unknown,Applied Water-CA
USDA CropScape,Unknown,Unknown,Applied Water-CA
USDA Natural Resources Conservation Service Geospatial Web Soil Survey,Unknown,Unknown,Applied Water-CA
CA Integrated Water Flow Model (IWFM) Demand Calculator,Unknown,Unknown,Applied Water-CA
California State Groundwater Elevation Monitoring (CASGEM),Unknown,Unknown,Applied Water-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Evapotranspiration-CA
Central Valley Hydrologic Model (CVHM),Unknown,Unknown,Evapotranspiration-CA
CALSIM2,Unknown,Unknown,Evapotranspiration-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Evapotranspiration-CA
CA DWR Land Use Surveys,Unknown,Unknown,Evapotranspiration-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Evapotranspiration-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Evapotranspiration-CA
CA DWR SGMA Data Viewer,Unknown,Unknown,Evapotranspiration-CA
CA Agricultural Water Management Plans,Unknown,Unknown,Evapotranspiration-CA
CA DWR Land Use Viewer,Unknown,Unknown,Evapotranspiration-CA
California Pesticide Information Portal,Unknown,Unknown,Evapotranspiration-CA
USDA CropScape,Unknown,Unknown,Evapotranspiration-CA
CA Integrated Water Flow Model (IWFM) Demand Calculator,Unknown,Unknown,Evapotranspiration-CA
California State Groundwater Elevation Monitoring (CASGEM),Unknown,Unknown,Evapotranspiration-CA
National Land Cover Data Base (NLCD),Unknown,Unknown,Evapotranspiration-CA
USDA County Ag Commissioner's Data Listing,Unknown,Unknown,Evapotranspiration-CA
Vegetation Condition Explorer (VegScape),Unknown,Unknown,Evapotranspiration-CA
Water Use Classification of Landscape Species (WUCOLS),Unknown,Unknown,Evapotranspiration-CA
CA County Agricultural Commissioner Crop Reports,Unknown,Unknown,Evapotranspiration-CA
NOAA National Centers for Environmental Information - Climate Data Online,Unknown,Unknown,Evapotranspiration-CA
NOAA National Centers for Environmental Information - Climatological Data Publications,Unknown,Unknown,Evapotranspiration-CA
NWS Climate Prediction Center Evaporation,Unknown,Unknown,Evapotranspiration-CA
METRIC-Earth Engine Evapotranspiration Flux,Unknown,Unknown,Evapotranspiration-CA
USGS Basin Characterization Model,Unknown,Unknown,Evapotranspiration-CA
CA DWR Bulletin 113: Crop Water Use,Unknown,Unknown,Evapotranspiration-CA
MOD 16: MODIS Global Evapotranspiration Project,Unknown,Unknown,Evapotranspiration-CA
NOAA Office of Satellite and Product Operations ALEXI: Atmosphere-Land Exchange Inverse Model,Unknown,Unknown,Evapotranspiration-CA
North American Land Data Assimilation System (NLDAS-2),Unknown,Unknown,Evapotranspiration-CA
USBR Central Valley Project Refuge Water Delivery Data,Unknown,Unknown,Surface Water Delivery-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CALSIM2,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
California Water Plan Portfolio,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CA DWR Land Use Surveys,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
SWRCB Water Conservation Portal,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
California Water Plan Update Data,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
California State Water Resources Control Board (SWRCB) Urban Water Supply Statistics,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
Existing Water Right Information from State Water Resources Control Board (SWRCB),Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CA Agricultural Water Management Plans,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CA DWR Irrigation Methods Survey,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CA Urban Water Management Plans,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CA Integrated Water Flow Model (IWFM) Demand Calculator,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
CA Recycled Water Data from Industrial Users,Unknown,Unknown,Applied Water Reuse/Recycled Water-CA
Unknown,Unknown,Unknown,Total Land System Inflow-CA
Unknown,Unknown,Unknown,Total Groundwater System Outflow-CA
CA Local Agency Water Delivery Records,Unknown,Unknown,Agricultural Applied Water-CA
Existing California Water Plan,Unknown,Unknown,Agricultural Applied Water-CA
On-farm water use data,Unknown,Unknown,Agricultural Applied Water-CA
CA Previous Reports,Unknown,Unknown,Managed Wetland Applied Water-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Managed Wetland Applied Water-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Managed Wetland Applied Water-CA
Central Valley Hydrologic Model (CVHM),Unknown,Unknown,Managed Wetland Applied Water-CA
Local Agency Records,Unknown,Unknown,Managed Wetland Applied Water-CA
USBR Central Valley Project Refuge Water Delivery Data,Unknown,Unknown,Managed Wetland Applied Water-CA
California Water Plan Water Portfolio Managed Wetlands Water Use Data,Unknown,Unknown,Managed Wetland Applied Water-CA
USFWS and CDFW Refuge Water Management Plans,Unknown,Unknown,Managed Wetland Applied Water-CA
CA Previous Reports,Unknown,Unknown,Urban Applied Water-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Urban Applied Water-CA
Central Valley Hydrologic Model (CVHM),Unknown,Unknown,Urban Applied Water-CA
California Water Plan Portfolio,Unknown,Unknown,Urban Applied Water-CA
Local Agency Records,Unknown,Unknown,Urban Applied Water-CA
CA Urban Water Management Plans,Unknown,Unknown,Urban Applied Water-CA
CA DWR Public Water Supply Statistics Data-Historical,Unknown,Unknown,Urban Applied Water-CA
Unknown,Unknown,Unknown,Total Surface Water Outflow-CA
Unknown,Unknown,Unknown,Total Surface Water Inflow-CA
USGS Surface-Water Data for California,Unknown,Unknown,Return Flow-CA
USGS Publications,Unknown,Unknown,Return Flow-CA
Unknown,Unknown,Unknown,Total Groundwater System Inflow-CA
Unknown,Unknown,Unknown,Total Land System Outflow-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Stream Outflow-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Stream Outflow-CA
CALSIM2,Unknown,Unknown,Stream Outflow-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Stream Outflow-CA
California Water Plan Portfolio,Unknown,Unknown,Stream Outflow-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Stream Outflow-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Stream Outflow-CA
CA DWR SGMA Data Viewer,Unknown,Unknown,Stream Outflow-CA
CALSIM 3,Unknown,Unknown,Stream Outflow-CA
CA DWR Water Data Library: Surface Water and Groundwater Data,Unknown,Unknown,Stream Outflow-CA
USGS Surface-Water Data for California,Unknown,Unknown,Stream Outflow-CA
USGS Publications,Unknown,Unknown,Stream Outflow-CA
California Nevada River Forecast Center,Unknown,Unknown,Stream Outflow-CA
Unknown,Unknown,Unknown,Total Outflow-CA
CALSIM2,Unknown,Unknown,Stored Water Export-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Stored Water Export-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Stored Water Export-CA
CALSIM2,Unknown,Unknown,Surface Water Exports-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Surface Water Exports-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Surface Water Exports-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Surface Water Exports-CA
CALSIM 3,Unknown,Unknown,Surface Water Exports-CA
USGS Surface-Water Data for California,Unknown,Unknown,Surface Water Exports-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Stream Inflow-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Stream Inflow-CA
CALSIM2,Unknown,Unknown,Stream Inflow-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Stream Inflow-CA
California Water Plan Portfolio,Unknown,Unknown,Stream Inflow-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Stream Inflow-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Stream Inflow-CA
CA DWR SGMA Data Viewer,Unknown,Unknown,Stream Inflow-CA
CALSIM 3,Unknown,Unknown,Stream Inflow-CA
CA DWR Water Data Library: Surface Water and Groundwater Data,Unknown,Unknown,Stream Inflow-CA
USGS Surface-Water Data for California,Unknown,Unknown,Stream Inflow-CA
USGS Publications,Unknown,Unknown,Stream Inflow-CA
California Nevada River Forecast Center,Unknown,Unknown,Stream Inflow-CA
Unknown,Unknown,Unknown,Total Inflow-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Subsurface Inflow-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Subsurface Inflow-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Subsurface Inflow-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Subsurface Inflow-CA
CA DWR Water Data Library: Surface Water and Groundwater Data,Unknown,Unknown,Subsurface Inflow-CA
USGS Publications,Unknown,Unknown,Subsurface Inflow-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Subsurface Outflow-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Subsurface Outflow-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Subsurface Outflow-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Subsurface Outflow-CA
CA DWR Water Data Library: Surface Water and Groundwater Data,Unknown,Unknown,Subsurface Outflow-CA
USGS Publications,Unknown,Unknown,Subsurface Outflow-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Managed Aquifer Recharge-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Managed Aquifer Recharge-CA
CALSIM2,Unknown,Unknown,Managed Aquifer Recharge-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Managed Aquifer Recharge-CA
California Water Plan Portfolio,Unknown,Unknown,Managed Aquifer Recharge-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Managed Aquifer Recharge-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Managed Aquifer Recharge-CA
CA Previous Reports,Unknown,Unknown,Recharge of Precipitation-CA
Central Valley Hydrologic Model (CVHM),Unknown,Unknown,Recharge of Precipitation-CA
California Water Plan Portfolio,Unknown,Unknown,Recharge of Precipitation-CA
CA DWR SGMA Data Viewer,Unknown,Unknown,Recharge of Precipitation-CA
CA Agricultural Water Management Plans,Unknown,Unknown,Recharge of Precipitation-CA
California State Groundwater Elevation Monitoring (CASGEM),Unknown,Unknown,Recharge of Precipitation-CA
National Oceanic and Atmospheric Administration Stations,Unknown,Unknown,Recharge of Precipitation-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Stored Water Extraction-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Stored Water Extraction-CA
CALSIM2,Unknown,Unknown,Stored Water Extraction-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Stored Water Extraction-CA
California Water Plan Portfolio,Unknown,Unknown,Stored Water Extraction-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Stored Water Extraction-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Stored Water Extraction-CA
Unknown,Unknown,Unknown,Change in Total System Storage-CA
CALSIM2,Unknown,Unknown,Lake Evaporation-CA
California Water Plan Portfolio,Unknown,Unknown,Lake Evaporation-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Lake Evaporation-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Lake Evaporation-CA
CA County Agricultural Commissioner Crop Reports,Unknown,Unknown,Lake Evaporation-CA
NOAA National Centers for Environmental Information - Climate Data Online,Unknown,Unknown,Lake Evaporation-CA
NOAA National Centers for Environmental Information - Climatological Data Publications,Unknown,Unknown,Lake Evaporation-CA
NWS Climate Prediction Center Evaporation,Unknown,Unknown,Lake Evaporation-CA
CALSIM2,Unknown,Unknown,Imported Water-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Imported Water-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Imported Water-CA
CALSIM 3,Unknown,Unknown,Imported Water-CA
USGS Surface-Water Data for California,Unknown,Unknown,Imported Water-CA
CA DWR Bulletin 132: Management of the California State Water Project,Unknown,Unknown,Imported Water-CA
Existing Water Right Information from State Water Resources Control Board (SWRCB),Unknown,Unknown,Imported Water-CA
Unknown,Unknown,Unknown,Precipitation on Lakes-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Runoff-CA
California Central Valley Simulation (C2VSim),Unknown,Unknown,Runoff-CA
California Agricultural Land and Water Use Estimates,Unknown,Unknown,Runoff-CA
CA Integrated Water Flow Model (IWFM),Unknown,Unknown,Runoff-CA
MODFLOW-OWHM: One Water Hydrologic Flow Model,Unknown,Unknown,Runoff-CA
USGS Surface-Water Data for California,Unknown,Unknown,Runoff-CA
USGS Publications,Unknown,Unknown,Runoff-CA
CA Integrated Water Flow Model (IWFM) Demand Calculator,Unknown,Unknown,Runoff-CA
Cal-SIMETAW Unit Values,Unknown,Unknown,Recycled Water Export-CA
CALSIM2,Unknown,Unknown,Recycled Water Export-CA
California Water Plan Portfolio,Unknown,Unknown,Recycled Water Export-CA
