state,name,key,flow_type,flow_source,flow_sink,uri,imports
CA,a. CA-Wateruty Based Approach,CA-Wateruty Based Approach,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Water-DutyBasedApproach,
CO,a. CO-Change in Ground Water Storage,CO-Change in Ground Water Storage,Storage Change,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInGroundWaterStorage-CO,
CO,a. CO-Change in Surface Water Storage,CO-Change in Surface Water Storage,Storage Change,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ChangeInSurfaceWaterStorage-CO,
CO,a. CO-Crop Consumptive Use,CO-Crop Consumptive Use,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO,"a. CO-Crop Consumptive Use,a. WY-Agricultural Consumptive Use,a. WY-Agricultural Consumptive Use,a. UT-Agricultural Depletions,a. UT-Agricultural Depletions,a. NM-Irrigated Agriculture Depletions"
CO,a. CO-Daily ASCE Standardized Penmanonteith,CO-Daily ASCE Standardized Penmanonteith,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyASCEStandardizedPenman-Monteith,
CO,a. CO-Daily Penmanonteith,CO-Daily Penmanonteith,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,
CO,a. CO-Direct Flow Demand  Annual,CO-Direct Flow Demand  Annual,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DirectFlowDemand-Annual,
CO,a. CO-Direct Flow Demand  Monthly,CO-Direct Flow Demand  Monthly,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DirectFlowDemand-Monthly,
CO,a. CO-Exports,CO-Exports,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,
CO,a. CO-Exports,CO-Exports,Outflow,Zone Groundwater,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,
CO,a. CO-Exports,CO-Exports,Outflow,Zone Surface Water,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,
CO,a. CO-Exports,CO-Exports,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/Exports-CO,
CO,a. CO-Gaged Surface Water Inflow,CO-Gaged Surface Water Inflow,NA,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/GagedSurfaceWaterInflow-CO,
CO,a. CO-Gaged Surface Water Outflow,CO-Gaged Surface Water Outflow,Outflow,Zone Surface Water,External Surface Water,http://purl.org/iow/WaterBudgetingFramework/GagedSurfaceWaterOutflow-CO,"a. WY-Gaged Stream Outflow,a. CO-Gaged Surface Water Outflow"
CO,a. CO-Ground Water Inflow,CO-Ground Water Inflow,Inflow,External Groundwater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundWaterInflow-CO,"a. CO-Ground Water Inflow,a. CA-Subsurface Inflow,a. NM-Groundwater Inflows"
CO,a. CO-Ground Water Outflow,CO-Ground Water Outflow,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundWaterOutflow-CO,"a. CO-Ground Water Outflow,a. CA-Subsurface Outflow"
CO,a. CO-Imports,CO-Imports,Inflow,External Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Imports-CO,"a. CA-Imported Water,a. CO-Imports,a. CO-Imports"
CO,a. CO-Imports,CO-Imports,Inflow,External Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Imports-CO,"a. CA-Imported Water,a. CO-Imports,a. CO-Imports"
CO,a. CO-Instream Flow Demand  Annual,CO-Instream Flow Demand  Annual,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/InstreamFlowDemand-Annual,
CO,a. CO-Instream Flow Demandonthly,CO-Instream Flow Demandonthly,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/InstreamFlowDemand-Monthly,
CO,a. CO-Livestock Consumptive Use,CO-Livestock Consumptive Use,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/LivestockConsumptiveUse-CO,"a. CO-Livestock Consumptive Use,a. CO-Livestock Consumptive Use,a. NM-Livestock,a. NM-Livestock,a. WY-Livestock Consumptive Use"
CO,a. CO-Livestock Consumptive Use,CO-Livestock Consumptive Use,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/LivestockConsumptiveUse-CO,"a. CO-Livestock Consumptive Use,a. CO-Livestock Consumptive Use,a. NM-Livestock,a. NM-Livestock,a. WY-Livestock Consumptive Use"
CO,a. CO-Modified Blaneyriddle,CO-Modified Blaneyriddle,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-Criddle,
CO,a. CO-Modified Blaneyriddle with ET Elevation Adjustment,CO-Modified Blaneyriddle with ET Elevation Adjustment,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ModifiedBlaney-CriddleWithETElevationAdjustment,
CO,a. CO-Municipal and Industrial Consumptive Use,CO-Municipal and Industrial Consumptive Use,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,"a. CO-Municipal and Industrial Consumptive Use,a. CO-Municipal and Industrial Consumptive Use,a. UT-Municipal and Industrial Depeltion,a. UT-Municipal and Industrial Depeltion"
CO,a. CO-Municipal and Industrial Consumptive Use,CO-Municipal and Industrial Consumptive Use,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,"a. CO-Municipal and Industrial Consumptive Use,a. CO-Municipal and Industrial Consumptive Use,a. UT-Municipal and Industrial Depeltion,a. UT-Municipal and Industrial Depeltion"
CO,a. CO-Native Vegetation Consumptive Use,CO-Native Vegetation Consumptive Use,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/NativeVegetationConsumptiveUse-CO,"a. CA-Evapotranspiration,a. CO-Native Vegetation Consumptive Use,a. CO-Native Vegetation Consumptive Use,a. UT-Natural System Use,a. UT-Natural System Use"
CO,a. CO-Native Vegetation Consumptive Use,CO-Native Vegetation Consumptive Use,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/NativeVegetationConsumptiveUse-CO,"a. CA-Evapotranspiration,a. CO-Native Vegetation Consumptive Use,a. CO-Native Vegetation Consumptive Use,a. UT-Natural System Use,a. UT-Natural System Use"
CO,a. CO-Onarm Water Balance,CO-Onarm Water Balance,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/On-FarmWaterBalance,
CO,a. CO-Original Blaneyriddle,CO-Original Blaneyriddle,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-Criddle,
CO,a. CO-Original Blaneyriddle with ET Elevation Adjustment,CO-Original Blaneyriddle with ET Elevation Adjustment,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/OriginalBlaney-CriddleWithETElevationAdjustment,
CO,a. CO-Precipitation,CO-Precipitation,Inflow,Atmosphere,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Precipitation-CO,"a. CA-Precipitation,a. CO-Precipitation,a. NM-Precipitation,a. UT-Precipitation,a. WY-Precipitation"
CO,a. CO-Reservoir Evaporation,CO-Reservoir Evaporation,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/ReservoirEvaporation-CO,"a. NM-Evaporation from Reservoirs,a. CO-Reservoir Evaporation,a. UT-Reservoir Evaporation,a. WY-Reservoir Evaporation"
CO,a. CO-Ungaged Surface Water Inflow,CO-Ungaged Surface Water Inflow,Inflow,External Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/UngagedSurfaceWaterInflow-CO,
NM,a. NM-Commercial,NM-Commercial,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Commercial-NMOSE,
NM,a. NM-Commercial,NM-Commercial,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Commercial-NMOSE,
NM,a. NM-Commercial: Incomplete Metered,NM-Commercial: Incomplete Metered,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Commercial%3AIncompleteMetered-NMOSE,
NM,a. NM-Commercial: Metered,NM-Commercial: Metered,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Commercial%3AMetered-NMOSE,
NM,a. NM-Commercial: Schools,NM-Commercial: Schools,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Commercial%3ASchools-NMOSE,
NM,a. NM-Commercial: Unmetered,NM-Commercial: Unmetered,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Commercial%3AUnmetered-NMOSE,
NM,a. NM-Daily Penmanonteith,NM-Daily Penmanonteith,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyPenman-Monteith,
NM,a. NM-Evaporation,NM-Evaporation,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/Evaporation-NM,
NM,a. NM-Evaporation from Reservoirs,NM-Evaporation from Reservoirs,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/EvaporationFromReservoirs-NMOSE,"a. NM-Evaporation from Reservoirs,a. CO-Reservoir Evaporation,a. UT-Reservoir Evaporation,a. WY-Reservoir Evaporation"
NM,a. NM-Groundwater Diversions,NM-Groundwater Diversions,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/GroundwaterDiversions-NM,
NM,a. NM-Groundwater ET,NM-Groundwater ET,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/GroundwaterET-NM,
NM,a. NM-Groundwater Inflows,NM-Groundwater Inflows,Inflow,External Groundwater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundwaterInflows-NM,"a. CO-Ground Water Inflow,a. CA-Subsurface Inflow,a. NM-Groundwater Inflows"
NM,a. NM-Groundwater Outflows,NM-Groundwater Outflows,Outflow,Zone Groundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundwaterOutflows-NM,
NM,a. NM-Groundwater Return,NM-Groundwater Return,Internal Transfer,Zone Land System,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework/GroundwaterReturn-NM,
NM,a. NM-Groundwater Stock,NM-Groundwater Stock,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterStock-NM,
NM,a. NM-Human Storage and Distribution System Stock,NM-Human Storage and Distribution System Stock,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/HumanStorageAndDistributionSystemStock-NM,
NM,a. NM-Industrial,NM-Industrial,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Industrial-NMOSE,
NM,a. NM-Irrigated Agriculture,NM-Irrigated Agriculture,Internal Transfer,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture,Irrigated Agriculture-NM,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture,Irrigated Agriculture-NM,Internal Transfer,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture,Irrigated Agriculture-NM,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture,Irrigated Agriculture-NM,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture,Irrigated Agriculture-NM,Outflow,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture,Irrigated Agriculture-NM,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture,Irrigated Agriculture-NM,Outflow,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,
NM,a. NM-Irrigated Agriculture Depletions,Irrigated Agriculture Depletions-NM,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDepletions-NMOSE,"a. CO-Crop Consumptive Use,a. WY-Agricultural Consumptive Use,a. WY-Agricultural Consumptive Use,a. UT-Agricultural Depletions,a. UT-Agricultural Depletions,a. NM-Irrigated Agriculture Depletions"
