jL,cL,c,fsourceL,fsource,fsinkL,fsink,ftypeL,ftype,scL,sc,pscL,psc,exmL,exm
CA,Stored Water Extraction,http://purl.org/iow/WaterBudgetingFramework#StoredWaterExtraction-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemInflow-CA,NA,NA,NA,NA
CA,Stream Evaporation,http://purl.org/iow/WaterBudgetingFramework#StreamEvaporation-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework#Atmosphere,Total Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalOutflow-CA,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Stream Gain from Groundwater,http://purl.org/iow/WaterBudgetingFramework#StreamGainFromGroundwater-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA
CA,Stream Gain from Groundwater,http://purl.org/iow/WaterBudgetingFramework#StreamGainFromGroundwater-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Stream Inflow,http://purl.org/iow/WaterBudgetingFramework#StreamInflow-CA,External Surface Water,http://purl.org/iow/WaterBudgetingFramework#ExternalSurfaceWater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Inflow,http://purl.org/iow/WaterBudgetingFramework#Inflow,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Stream Loss to Groundwater,http://purl.org/iow/WaterBudgetingFramework#StreamLossToGroundwater-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Recharge-NM,http://purl.org/iow/WaterBudgetingFramework#Recharge-NM,NA,NA,NA,NA
CA,Stream Loss to Groundwater,http://purl.org/iow/WaterBudgetingFramework#StreamLossToGroundwater-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Groundwater System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA,NA,NA
CA,Stream Loss to Groundwater,http://purl.org/iow/WaterBudgetingFramework#StreamLossToGroundwater-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Stream Outflow,http://purl.org/iow/WaterBudgetingFramework#StreamOutfow-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,External Surface Water,http://purl.org/iow/WaterBudgetingFramework#ExternalSurfaceWater,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Subsurface Inflow,http://purl.org/iow/WaterBudgetingFramework#SubsurfaceInflow-CA,External Groundwater,http://purl.org/iow/WaterBudgetingFramework#ExternalGroundwater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,Inflow,http://purl.org/iow/WaterBudgetingFramework#Inflow,Total Groundwater System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA,NA,NA
CA,Subsurface Outflow,http://purl.org/iow/WaterBudgetingFramework#SubsurfaceOutflow-CA,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#ZoneGroundwater,External Groundwater,http://purl.org/iow/WaterBudgetingFramework#ExternalGroundwater,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Groundwater System Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA
CA,Surface Water Delivery,http://purl.org/iow/WaterBudgetingFramework#SurfaceWaterDelivery-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Land System Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemInflow-CA,NA,NA,NA,NA
CA,Surface Water Delivery,http://purl.org/iow/WaterBudgetingFramework#SurfaceWaterDelivery-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#ZoneLandSystem,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Surface Water Diversions,http://purl.org/iow/WaterBudgetingFramework#SurfaceWaterDiversions-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Inflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA
CA,Surface Water Diversions,http://purl.org/iow/WaterBudgetingFramework#SurfaceWaterDiversions-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,Internal Transfer,http://purl.org/iow/WaterBudgetingFramework#InternalTransfer,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Surface Water Exports,http://purl.org/iow/WaterBudgetingFramework#SurfaceWaterExports-CA,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework#ZoneSurfaceWater,External Surface Water,http://purl.org/iow/WaterBudgetingFramework#ExternalSurfaceWater,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,Total Surface Water Outflow-CA,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA
CA,Total Groundwater System Inflow,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA,NA,NA,Inflow,http://purl.org/iow/WaterBudgetingFramework#Inflow,NA,NA,NA,NA,NA,NA
CA,Total Groundwater System Outflow,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemOutflow-CA,NA,NA,NA,NA,Outflow,http://purl.org/iow/WaterBudgetingFramework#Outflow,NA,NA,NA,NA,NA,NA
CA,Total Inflow,http://purl.org/iow/WaterBudgetingFramework#TotalInflow-CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,Total Land System Inflow,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemInflow-CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,Total Land System Outflow,http://purl.org/iow/WaterBudgetingFramework#TotalLandSystemOutflow-CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,Total Outflow,http://purl.org/iow/WaterBudgetingFramework#TotalOutflow-CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,Total Surface Water Inflow,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterInflow-CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,Total Surface Water Outflow,http://purl.org/iow/WaterBudgetingFramework#TotalSurfaceWaterOutflow-CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
