state_cL,ftype_cL,fsource_cL,fsink_cL,cL,scL,state_scL,ftype_scL,fsource_scL,fsink_scL,c,sc,empty
WY,NA,Zone Surface Water,Atmosphere,Municipal Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,NA,Zone Groundwater,Atmosphere,Municipal Consumptive Use-WY,Municipal and Industrial Consumptive Use-CO,CO,Outflow,Zone Groundwater,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialConsumptiveUse-CO,NA
WY,NA,Zone Surface Water,Atmosphere,Municipal Consumptive Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
WY,NA,Zone Groundwater,Atmosphere,Municipal Consumptive Use-WY,Applied Water-CA,CA,Internal Transfer,Zone Land System,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/MunicipalConsumptiveUse-WY,http://purl.org/iow/WaterBudgetingFramework/AppliedWater-CA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Mining-NMOSE,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/Mining-NMOSE,http://purl.org/iow/WaterBudgetingFramework/MunicipalAndIndustrialDiversions-UT,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Groundwater Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/GroundwaterUse-UT,NA,NA
UT,Internal Transfer,Zone Surface Water,Zone Land System,Surface Diversion to Cropland-UT,Surface Water Diversions-CA,CA,Internal Transfer,Zone Surface Water,Zone Surface Water,http://purl.org/iow/WaterBudgetingFramework/SurfaceDiversionToCropland-UT,http://purl.org/iow/WaterBudgetingFramework/SurfaceWaterDiversions-CA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Irrigated Agriculture Diversions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDiversions-NMOSE,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Irrigated Agriculture Diversions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDiversions-NMOSE,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Irrigated Agriculture Diversions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDiversions-NMOSE,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Irrigated Agriculture Diversions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDiversions-NMOSE,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Irrigated Agriculture Diversions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgricultureDiversions-NMOSE,http://purl.org/iow/WaterBudgetingFramework/IrrigatedAgriculture-NMOSE,NA
